"Path","Title","Platform","Url","Tags","Status","NeedReview","Mistake","Note"
"2.28训练赛/A.AnotherA+BProblem.cpp","A.AnotherA+BProblem","2.28训练赛","","","","","",""
"2.28训练赛/E.ExpenditureReduction.cpp","E.ExpenditureReduction","2.28训练赛","","","","","",""
"2.28训练赛/G.Gua!.cpp","G.Gua!","2.28训练赛","","","","","",""
"2.28训练赛/H.HeirloomPainting.cpp","H.HeirloomPainting","2.28训练赛","","","","","",""
"2.28训练赛/N.NineIsGreaterThanTen.cpp","N.NineIsGreaterThanTen","2.28训练赛","","","","","",""
"AtCoder/ABC403/D - Forbidden Difference .cpp","D - Forbidden Difference ","AtCoder","https://atcoder.jp/contests/abc403/tasks/abc403_d","","","","",""
"AtCoder/ABC416/C - Concat (X-th) .cpp","C - Concat (X-th) ","AtCoder","https://atcoder.jp/contests/abc416/tasks/abc416_c","","","","",""
"AtCoder/ABC416/D - Match, Mod, Minimize 2 .cpp","D - Match, Mod, Minimize 2 ","AtCoder","https://atcoder.jp/contests/abc416/tasks/abc416_d","","","","",""
"AtCoder/ABC428/C - Brackets Stack Query .cpp","C - Brackets Stack Query ","AtCoder","https://atcoder.jp/contests/abc428/tasks/abc428_c","","","","",""
"AtCoder/ABC430/C - Truck Driver .cpp","C - Truck Driver ","AtCoder","https://atcoder.jp/contests/abc430/tasks/abc430_c","","","","",""
"AtCoder/ABC444/A.cpp","A","AtCoder","https://atcoder.jp/contests/abc444/tasks/abc444_a","","","","",""
"AtCoder/ABC444/B.cpp","B","AtCoder","https://atcoder.jp/contests/abc444/tasks/abc444_b","","","","",""
"AtCoder/ABC444/C.cpp","C","AtCoder","https://atcoder.jp/contests/abc444/tasks/abc444_c","","","","",""
"AtCoder/ABC444/D.cpp","D","AtCoder","https://atcoder.jp/contests/abc444/tasks/abc444_d","","","","",""
"AtCoder/ABC444/E.cpp","E","AtCoder","https://atcoder.jp/contests/abc444/tasks/abc444_e","","","","",""
"AtCoder/ABC446/A - Handmaid.cpp","A - Handmaid","AtCoder","https://atcoder.jp/contests/abc446/tasks/abc446_a","","","","",""
"AtCoder/ABC446/B - Greedy Draft.cpp","B - Greedy Draft","AtCoder","https://atcoder.jp/contests/abc446/tasks/abc446_b","","","","",""
"AtCoder/ABC446/C - Omelette Restaurant.cpp","C - Omelette Restaurant","AtCoder","https://atcoder.jp/contests/abc446/tasks/abc446_c","","","","",""
"AtCoder/ABC446/D - Max Straight.cpp","D - Max Straight","AtCoder","https://atcoder.jp/contests/abc446/tasks/abc446_d","","","","",""
"AtCoder/ABC446/E - Multiple-Free Sequences.cpp","E - Multiple-Free Sequences","AtCoder","https://atcoder.jp/contests/abc446/tasks/abc446_e","","","","",""
"AtCoder/ABC446/F - Reachable Set 2.cpp","F - Reachable Set 2","AtCoder","https://atcoder.jp/contests/abc446/tasks/abc446_f","","","","",""
"AtCoder/ABC448/A.cpp","A","AtCoder","https://atcoder.jp/contests/abc448/tasks/abc448_a","","","","",""
"AtCoder/ABC448/B - Pepper Addiction.cpp","B - Pepper Addiction","AtCoder","https://atcoder.jp/contests/abc448/tasks/abc448_b","","","","",""
"AtCoder/ABC448/C - Except and Min.cpp","C - Except and Min","AtCoder","https://atcoder.jp/contests/abc448/tasks/abc448_c","","","","",""
"AtCoder/ABC448/D - Integer-duplicated Path.cpp","D - Integer-duplicated Path","AtCoder","https://atcoder.jp/contests/abc448/tasks/abc448_d","","","","",""
"AtCoder/ABC449/A - π.cpp","A - π","AtCoder","https://atcoder.jp/contests/abc449/tasks/abc449_a","","","","",""
"AtCoder/ABC449/B - Deconstruct Chocolate .cpp","B - Deconstruct Chocolate ","AtCoder","https://atcoder.jp/contests/abc449/tasks/abc449_b","","","","",""
"AtCoder/ABC449/C - Comfortable Distance .cpp","C - Comfortable Distance ","AtCoder","https://atcoder.jp/contests/abc449/tasks/abc449_c","","","","",""
"AtCoder/ABC449/D - Make Target 2 .cpp","D - Make Target 2 ","AtCoder","https://atcoder.jp/contests/abc449/tasks/abc449_d","","","","",""
"AtCoder/ABC449/E - A += v .cpp","E - A += v ","AtCoder","https://atcoder.jp/contests/abc449/tasks/abc449_e","","","","",""
"AtCoder/ABC452/D - No-Subsequence Substring .cpp","D - No-Subsequence Substring ","AtCoder","https://atcoder.jp/contests/abc452/tasks/abc452_d","","","","",""
"AtCoder/ABC454/A.cpp","A","AtCoder","https://atcoder.jp/contests/abc454/tasks/abc454_a","","","","",""
"AtCoder/ABC454/B.cpp","B","AtCoder","https://atcoder.jp/contests/abc454/tasks/abc454_b","","","","",""
"AtCoder/ABC455/C - Vanish.cpp","C - Vanish","AtCoder","https://atcoder.jp/contests/abc455/tasks/abc455_c","","","","",""
"AtCoder/ABC455/D - Card Pile Query .cpp","D - Card Pile Query ","AtCoder","https://atcoder.jp/contests/abc455/tasks/abc455_d","","","","",""
"AtCoder/ABC455/E - Unbalanced ABC Substrings .cpp","E - Unbalanced ABC Substrings ","AtCoder","https://atcoder.jp/contests/abc455/tasks/abc455_e","","","","",""
"AtCoder/ABC456/C - Not Adjacent.cpp","C - Not Adjacent","AtCoder","https://atcoder.jp/contests/abc456/tasks/abc456_c","","","","",""
"AtCoder/ABC456/D - Not Adjacent 2.cpp","D - Not Adjacent 2","AtCoder","https://atcoder.jp/contests/abc456/tasks/abc456_d","","","","",""
"AtCoder/ABC456/E - Endless Holidays.cpp","E - Endless Holidays","AtCoder","https://atcoder.jp/contests/abc456/tasks/abc456_e","","","","",""
"AtCoder/ABC457/C - Long Sequence.cpp","C - Long Sequence","AtCoder","https://atcoder.jp/contests/abc457/tasks/abc457_c","","","","",""
"AtCoder/ABC457/D - Raise Minimum.cpp","D - Raise Minimum","AtCoder","https://atcoder.jp/contests/abc457/tasks/abc457_d","","","","",""
"AtCoder/ABC457/E - Crossing Table Cloth.cpp","E - Crossing Table Cloth","AtCoder","https://atcoder.jp/contests/abc457/tasks/abc457_e","","","","",""
"AtCoder/ABC457/F - Second Gap.cpp","F - Second Gap","AtCoder","https://atcoder.jp/contests/abc457/tasks/abc457_f","","","","",""
"A训练/a.cpp","a","A训练","","","","","",""
"A训练/b.cpp","b","A训练","","","","","",""
"A训练/c.cpp","c","A训练","","","","","",""
"A训练/d.cpp","d","A训练","","","","","",""
"A训练/e.cpp","e","A训练","","","","","",""
"A训练/板子.cpp","板子","A训练","","","","","",""
"A训练/哈希.cpp","哈希","A训练","","","","","",""
"A训练/字典树.cpp","字典树","A训练","","","","","",""
"A组队赛/4.13第一场/A.cpp","A","A组队赛","","","","","",""
"A组队赛/4.13第一场/B.cpp","B","A组队赛","","","","","",""
"A组队赛/4.13第一场/C.cpp","C","A组队赛","","","","","",""
"A组队赛/4.13第一场/E.cpp","E","A组队赛","","","","","",""
"A组队赛/4.13第一场/G.cpp","G","A组队赛","","","","","",""
"A组队赛/4.13第一场/J.cpp","J","A组队赛","","","","","",""
"A组队赛/4.13第一场/K.cpp","K","A组队赛","","","","","",""
"A组队赛/4.15第二场/D- Journey to Un’Goro.cpp","D- Journey to Un’Goro","A组队赛","","","","","",""
"A组队赛/4.15第二场/H-The Boomsday Project.cpp","H-The Boomsday Project","A组队赛","","","","","",""
"A组队赛/4.15第二场/I- Rise of Shadows.cpp","I- Rise of Shadows","A组队赛","","","","","",""
"A组队赛/4.15第二场/K-Scholomance Academy.cpp","K-Scholomance Academy","A组队赛","","","","","",""
"A组队赛/4.15第二场/Problem F. Kobolds and Catacombs.cpp","Problem F. Kobolds and Catacombs","A组队赛","","","","","",""
"A组队赛/4.15第二场/Problem G. The Witchwood.cpp","Problem G. The Witchwood","A组队赛","","","","","",""
"A组队赛/4.20第三场/A. Modulo Ruins the Legend.cpp","A. Modulo Ruins the Legend","A组队赛","","","","","",""
